From,To,5 Kg,10 Kg,20 Kg,40 Kg,80 Kg,160 Kg,320 Kg,640 Kg,1280 Kg,2560 Kg,5120 Kg,10240 Kg,20480 Kg,40960 Kg,81920 Kg,163840 Kg,327680 Kg
Buenos Aires,Santiago,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260
Buenos Aires,Lima,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261
Buenos Aires,Rio de Janeiro,102,112,122,132,142,152,162,172,182,192,202,212,222,232,242,252,262
Buenos Aires,La Paz,103,113,123,133,143,153,163,173,183,193,203,213,223,233,243,253,263
Buenos Aires,Caracas,104,114,124,134,144,154,164,174,184,194,204,214,224,234,244,254,264
Buenos Aires,Montevideo,105,115,125,135,145,155,165,175,185,195,205,215,225,235,245,255,265
Buenos Aires,Asunsión,106,116,126,136,146,156,166,176,186,196,206,216,226,236,246,256,266
Buenos Aires,Quito,107,117,127,137,147,157,167,177,187,197,207,217,227,237,247,257,267
Buenos Aires,Bogotá,108,118,128,138,148,158,168,178,188,198,208,218,228,238,248,258,268
Buenos Aires,Quito,109,119,129,139,149,159,169,179,189,199,209,219,229,239,249,259,269
Buenos Aires,Bogotá,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270
Santiago,Buenos Aires,1.100,1.110,1.120,1.130,1.140,1.150,1.160,1.170,1.180,1.190,1.200,1.210,1.220,1.230,1.240,1.250,1.260
Santiago,Lima,1101,1.111,1.121,1.131,1.141,1.151,1.161,1.171,1.181,1.191,1.201,1.211,1.221,1.231,1.241,1.251,1.261
Santiago,Rio de Janeiro,1102,1.112,1.122,1.132,1.142,1.152,1.162,1.172,1.182,1.192,1.202,1.212,1.222,1.232,1.242,1.252,1.262
Santiago,La Paz,1103,1.113,1.123,1.133,1.143,1.153,1.163,1.173,1.183,1.193,1.203,1.213,1.223,1.233,1.243,1.253,1.263
Santiago,Caracas,1104,1.114,1.124,1.134,1.144,1.154,1.164,1.174,1.184,1.194,1.204,1.214,1.224,1.234,1.244,1.254,1.264
Santiago,Montevideo,1105,1.115,1.125,1.135,1.145,1.155,1.165,1.175,1.185,1.195,1.205,1.215,1.225,1.235,1.245,1.255,1.265
Santiago,Asunsión,1106,1.116,1.126,1.136,1.146,1.156,1.166,1.176,1.186,1.196,1.206,1.216,1.226,1.236,1.246,1.256,1.266
Santiago,Quito,1107,1.117,1.127,1.137,1.147,1.157,1.167,1.177,1.187,1.197,1.207,1.217,1.227,1.237,1.247,1.257,1.267
Santiago,Bogotá,1108,1.118,1.128,1.138,1.148,1.158,1.168,1.178,1.188,1.198,1.208,1.218,1.228,1.238,1.248,1.258,1.268
Santiago,Quito,1109,1.119,1.129,1.139,1.149,1.159,1.169,1.179,1.189,1.199,1.209,1.219,1.229,1.239,1.249,1.259,1.269
Santiago,Bogotá,1110,1.120,1.130,1.140,1.150,1.160,1.170,1.180,1.190,1.200,1.210,1.220,1.230,1.240,1.250,1.260,1.270
